label,Ss,Sr,q10,q50
"Haileybury, ON",2.4,0.4,0.34,0.44
"Haldimand (Caledonia), ON",1.2,0.4,0.34,0.44
"Haldimand (Hagersville), ON",1.3,0.4,0.36,0.46
"Haliburton, ON",2.9,0.4,0.27,0.35
"Halton Hills (Georgetown), ON",1.4,0.4,0.29,0.37
"Hamilton, ON",0.9,0.4,0.36,0.46
"Hanover, ON",2.6,0.4,0.37,0.48
"Hastings, ON",2,0.4,0.32,0.41
"Hawkesbury, ON",2.3,0.4,0.32,0.41
"Hearst, ON",2.8,0.3,0.23,0.3
"Honey Harbour, ON",2.7,0.4,0.3,0.39
"Hornepayne, ON",3.6,0.4,0.23,0.3
"Huntsville, ON",2.9,0.4,0.27,0.35
"Ingersoll, ON",1.7,0.4,0.37,0.48
"Iroquois Falls, ON",2.9,0.3,0.29,0.37
"Jellicoe, ON",2.7,0.4,0.23,0.3
"Kapuskasing, ON",2.8,0.3,0.24,0.31
"Kemptville, ON",2.3,0.4,0.32,0.41
"Kenora, ON",2.3,0.3,0.24,0.31
"Killaloe, ON",2.7,0.4,0.27,0.35
"Kincardine, ON",2.6,0.4,0.43,0.55
"Kingston, ON",2.1,0.4,0.36,0.47
"Kinmount, ON",2.7,0.4,0.27,0.35
"Kirkland Lake, ON",2.9,0.3,0.3,0.39
"Kitchener, ON",2,0.4,0.29,0.37
"Kitchenuhmaykoosib (Big Trout Lake), ON",3.2,0.2,0.33,0.42
"Lakefield, ON",2.2,0.4,0.29,0.38
"Lansdowne House, ON",2.9,0.2,0.25,0.32
"Leamington, ON",0.8,0.4,0.36,0.47
"Lindsay, ON",2.3,0.4,0.29,0.38
"Lion's Head, ON",2.7,0.4,0.37,0.48
"Listowel, ON",2.6,0.4,0.36,0.47
"London, ON",1.9,0.4,0.36,0.47
"Lucan, ON",2.3,0.4,0.39,0.5
"Maitland, ON",2.2,0.4,0.34,0.44
"Markdale, ON",3.4,0.4,0.32,0.41
"Markham, ON",1.3,0.4,0.34,0.44
"Martin, ON",2.6,0.3,0.23,0.3
"Matheson, ON",2.8,0.3,0.3,0.39
"Mattawa, ON",2.1,0.4,0.25,0.32
"Midland, ON",2.7,0.4,0.3,0.39
"Milton, ON",1.3,0.4,0.33,0.43
"Milverton, ON",2.4,0.4,0.33,0.43
"Minden, ON",2.7,0.4,0.27,0.35
"Mississauga, ON",1.1,0.4,0.34,0.44
"Mississauga (Lester B. Pearson Airport), ON",1.1,0.4,0.34,0.44
"Mississauga (Port Credit), ON",0.9,0.4,0.37,0.48
"Mitchell, ON",2.4,0.4,0.37,0.48
"Moosonee, ON",2.2,0.3,0.27,0.35
"Morrisburg, ON",2.3,0.4,0.32,0.41
"Mount Forest, ON",2.7,0.4,0.32,0.41
"Nakina, ON",2.8,0.4,0.23,0.3
"Nanticoke (Jarvis), ON",1.4,0.4,0.37,0.48
"Nanticoke (Port Dover), ON",1.2,0.4,0.37,0.48
"Napanee, ON",1.9,0.4,0.33,0.43
"New Liskeard, ON",2.3,0.4,0.33,0.43
"Newcastle, ON",1.5,0.4,0.37,0.48
"Newcastle (Bowmanville), ON",1.4,0.4,0.37,0.48
"Newmarket, ON",2,0.4,0.29,0.38
"Niagara Falls, ON",2,0.4,0.33,0.43
"North Bay, ON",2.2,0.4,0.27,0.34
"North York, ON",1.2,0.4,0.34,0.44
"Norwood, ON",2.1,0.4,0.32,0.41
"Oakville, ON",0.9,0.4,0.36,0.47
"Orangeville, ON",2.3,0.4,0.28,0.36
"Orillia, ON",2.4,0.4,0.28,0.36
"Oshawa, ON",1.4,0.4,0.37,0.48
"Ottawa (Barrhaven), ON",2.4,0.4,0.32,0.41
"Ottawa (City Hall), ON",2.4,0.4,0.32,0.41
"Ottawa (Kanata), ON",2.5,0.4,0.32,0.41
"Ottawa (M.C. lnt'l Airport), ON",2.4,0.4,0.32,0.41
"Ottawa (Orleans), ON",2.4,0.4,0.32,0.41
"Owen Sound, ON",2.8,0.4,0.37,0.48
"Pagwa River, ON",2.4,0.4,0.23,0.3
"Paris, ON",1.4,0.4,0.33,0.42
"Parkhill, ON",2.1,0.4,0.39,0.5
"Parry Sound, ON",2.8,0.4,0.3,0.39
"Pelham (Fonthill), ON",2.3,0.4,0.33,0.42
"Pembroke, ON",2.5,0.4,0.27,0.35
"Penetanguishene, ON",2.8,0.4,0.3,0.39
"Perth, ON",2.3,0.4,0.32,0.41
"Petawawa, ON",2.6,0.4,0.27,0.35
"Peterborough, ON",2,0.4,0.32,0.41
"Petrolia, ON",1.3,0.4,0.36,0.47
"Pickering (Dunbarton), ON",1,0.4,0.37,0.48
"Picton, ON",2,0.4,0.38,0.49
"Plattsville, ON",1.9,0.4,0.33,0.42
"Point Alexander, ON",2.5,0.4,0.27,0.35
"Port Burwell, ON",1.2,0.4,0.36,0.47
"Port Colborne, ON",2.3,0.4,0.36,0.46
"Port Elgin, ON",2.8,0.4,0.43,0.55
"Port Hope, ON",1.2,0.4,0.37,0.48
"Port Perry, ON",2.4,0.4,0.34,0.44
"Port Stanley, ON",1.2,0.4,0.36,0.47
"Prescott, ON",2.2,0.4,0.34,0.44
"Princeton, ON",1.5,0.4,0.33,0.42
"Raith, ON",2.7,0.4,0.23,0.3
"Rayside-Balfour (Chelmsford), ON",2.5,0.4,0.35,0.45
"Red Lake, ON",2.4,0.3,0.23,0.3
"Renfrew, ON",2.5,0.4,0.27,0.35
"Richmond Hill, ON",1.5,0.4,0.34,0.44
"Rockland, ON",2.4,0.4,0.31,0.4
"Sarnia, ON",1.1,0.4,0.36,0.47
"Sault Ste. Marie, ON",3.1,0.4,0.34,0.44
"Scarborough, ON",1.2,0.4,0.36,0.47
"Schreiber, ON",3.3,0.4,0.3,0.39
"Seaforth, ON",2.5,0.4,0.37,0.48
"Shelburne, ON",3.1,0.4,0.31,0.4
"Simcoe, ON",1.3,0.4,0.35,0.45
"Sioux Lookout, ON",2.4,0.3,0.23,0.3
"Smithville, ON",1.5,0.4,0.33,0.42
"Smooth Rock Falls, ON",2.7,0.3,0.25,0.32
"Smtthsfalls, ON",2.3,0.4,0.32,0.41
"South River, ON",2.8,0.4,0.27,0.35
"Southampton, ON",2.7,0.4,0.41,0.53
"St. Catharines, ON",1,0.4,0.36,0.46
"St. Mary's, ON",2.2,0.4,0.36,0.47
"St. Thomas, ON",1.4,0.4,0.36,0.47
"Stirling, ON",1.7,0.4,0.31,0.4
"Stratford, ON",2.3,0.4,0.35,0.45
"Strathroy, ON",1.9,0.4,0.36,0.47
"Sturgeon Falls, ON",2.2,0.4,0.27,0.35
"Sudbury, ON",2.5,0.4,0.36,0.46
"Sundridge, ON",2.8,0.4,0.27,0.35
"Tavistock, ON",2.1,0.4,0.35,0.45
"Temagami, ON",2.6,0.4,0.29,0.37
"Thamesford, ON",1.9,0.4,0.37,0.48
"Thedford, ON",2.1,0.4,0.39,0.5
"Thunder Bay, ON",2.9,0.4,0.3,0.39
"Tillsonburg, ON",1.3,0.4,0.34,0.44
"Timmins, ON",3.1,0.3,0.27,0.35
"Timmins (Porcupine), ON",2.9,0.3,0.29,0.37
"Toronto (City Hall), ON",0.9,0.4,0.34,0.44
"Trenton, ON",1.6,0.4,0.36,0.47
"Trout Creek, ON",2.7,0.4,0.27,0.35
"Uxbridge, ON",2.4,0.4,0.33,0.42
"Vaughan (Woodbridge), ON",1.1,0.4,0.34,0.44
"Vittoria, ON",1.3,0.4,0.36,0.47
"Walford, ON",1.9,0.4,0.36,0.47
"Walkerton, ON",2.7,0.4,0.39,0.5
"Wallaceburg, ON",0.9,0.4,0.35,0.45
"Waterloo, ON",2,0.4,0.29,0.37
"Wawa, ON",4.1,0.4,0.3,0.39
"Weiland, ON",2.2,0.4,0.33,0.43
"West Lorne, ON",1.3,0.4,0.36,0.47
"Whitby, ON",1.2,0.4,0.37,0.48
"Whitby (Brooklin), ON",1.9,0.4,0.35,0.45
"White River, ON",4.5,0.4,0.23,0.3
"Wiarton, ON",2.7,0.4,0.37,0.48
"Windsor, ON",0.8,0.4,0.36,0.47
"Wingham, ON",2.6,0.4,0.39,0.5
"Woodstock, ON",1.9,0.4,0.34,0.44
"Wyoming, ON",1.6,0.4,0.36,0.47
"Charlottetown, PE",2.7,0.6,0.43,0.56
"Souris, PE",2.7,0.6,0.45,0.58
"Summerside, PE",3.1,0.6,0.47,0.6
"Tignish, PE",3.2,0.6,0.51,0.66
"Acton-Vale, QC",2.3,0.4,0.27,0.35
"Alma, QC",3.3,0.4,0.27,0.35
"Amos, QC",3.2,0.3,0.25,0.32
"Ancienne-Lorette, QC",3.4,0.6,0.32,0.41
"Asbestos, QC",2.8,0.6,0.27,0.35
"Aylmer, QC",2.5,0.4,0.32,0.41
"Baie-Comeau, QC",4.3,0.4,0.39,0.5
"Baie-Saint-Paul, QC",3.2,0.6,0.37,0.48
"Beaconsfield, QC",2.3,0.4,0.33,0.42
"Beauport, QC",3.4,0.6,0.33,0.42
"Bedford, QC",2.1,0.4,0.32,0.41
